date_updated,category_id,category_name,product_id,product_url,meta_title,title_content,meta_img,img_content
2021-11-04 06:59:29.398809,1,Cleanser,575,https://www.lookfantastic.com/vichy-purete-thermale-fresh-cleansing-gel-200ml/11119868.html,"<meta content=""VICHY Purete Thermale Fresh Cleansing Gel 200ml"" property=""og:title""/>",VICHY Purete Thermale Fresh Cleansing Gel 200ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11119868-1734309291118445.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11119868-1734309291118445.jpg
2021-11-04 06:59:32.125769,1,Cleanser,576,https://www.lookfantastic.com/garnier-micellar-water-facial-cleanser-and-makeup-remover-for-combination-skin-400ml/11171651.html,"<meta content=""Garnier Micellar Water Facial Cleanser and Makeup Remover for Combination Skin 400ml"" property=""og:title""/>",Garnier Micellar Water Facial Cleanser and Makeup Remover for Combination Skin 400ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11171651-1784773298916214.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11171651-1784773298916214.jpg
2021-11-04 06:59:34.957241,1,Cleanser,577,https://www.lookfantastic.com/sukin-blemish-control-clearing-facial-wash-125ml/12033214.html,"<meta content=""Sukin Blemish Control Clearing Facial Wash 125ml"" property=""og:title""/>",Sukin Blemish Control Clearing Facial Wash 125ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/12033214-1774864253232495.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/12033214-1774864253232495.jpg
2021-11-04 07:00:29.316231,1,Cleanser,578,https://www.lookfantastic.com/origins-ginzing-refreshing-scrub-cleanser-150ml/11138333.html,"<meta content=""Origins GinZing Refreshing Scrub Cleanser 150ml"" property=""og:title""/>",Origins GinZing Refreshing Scrub Cleanser 150ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11138333-1174608396702447.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11138333-1174608396702447.jpg
2021-11-04 07:00:31.986633,1,Cleanser,579,https://www.lookfantastic.com/l-oreal-paris-fine-flowers-cleansing-milk-400ml/11740150.html,"<meta content=""L'Oréal Paris Fine Flowers Cleansing Milk 400ml"" property=""og:title""/>",L'Oréal Paris Fine Flowers Cleansing Milk 400ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11740150-1074593916769271.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11740150-1074593916769271.jpg
2021-11-04 07:00:34.699340,1,Cleanser,580,https://www.lookfantastic.com/murad-time-release-blemish-cleanser-200ml/10448737.html,"<meta content=""Murad Time Release Blemish Cleanser 200ml"" property=""og:title""/>",Murad Time Release Blemish Cleanser 200ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/10448737-2074562884423110.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/10448737-2074562884423110.jpg
2021-11-04 07:01:29.897875,1,Cleanser,581,https://www.lookfantastic.com/elemis-sensitive-cleansing-wash-200ml/10365311.html,"<meta content=""Elemis Sensitive Cleansing Wash 200ml"" property=""og:title""/>",Elemis Sensitive Cleansing Wash 200ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/10365311-4114891240664340.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/10365311-4114891240664340.jpg
2021-11-04 07:01:32.738473,1,Cleanser,582,https://www.lookfantastic.com/clinique-pep-start-2-in-1-exfoliating-cleanser-125ml/11350906.html,"<meta content=""Clinique Pep-Start 2-in-1 Exfoliating Cleanser 125ml"" property=""og:title""/>",Clinique Pep-Start 2-in-1 Exfoliating Cleanser 125ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11350906-5694436123060304.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11350906-5694436123060304.jpg
2021-11-04 07:01:35.512895,1,Cleanser,583,https://www.lookfantastic.com/neutrogena-hydro-boost-cleanser-wipes-25-wipes/11433779.html,"<meta content=""Neutrogena Hydro Boost Cleanser Wipes (25 Wipes)"" property=""og:title""/>",Neutrogena Hydro Boost Cleanser Wipes (25 Wipes),"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11433779-1574654311350949.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11433779-1574654311350949.jpg
2021-11-04 07:02:29.294455,1,Cleanser,584,https://www.lookfantastic.com/garnier-pure-active-anti-blemish-soap-free-gel-wash-sensitive-skin-150ml/11919615.html,"<meta content=""Garnier Pure Active Anti Blemish Soap Free Gel Wash Sensitive Skin 150ml"" property=""og:title""/>",Garnier Pure Active Anti Blemish Soap Free Gel Wash Sensitive Skin 150ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11919615-5924624317770925.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11919615-5924624317770925.jpg
